기관명,주소,과정명,회차,직종,훈련유형,개강일,종강일,훈련시간,모집인원,수강신청인원,수강확정인원,평균 인원,전회차 인원
(주)이스트소프트,(06711) 서울특별시 서초구 반포대로 3 이스트소프트,"[이스트캠프]오르미 백엔드 개발(Java, Spring, JPA)",6회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-08-05,2024-12-20,728,80,40,40,43.44,63
(주)이스트소프트,(06711) 서울특별시 서초구 반포대로 3 이스트소프트,"[이스트캠프]오르미 백엔드 개발(Java, Spring, JPA)",7회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-09-23,2025-02-11,728,80,15,15,43.44,40
(주)이스트소프트,(06711) 서울특별시 서초구 반포대로 3 이스트소프트,"[이스트캠프]오르미 백엔드 개발(Java, Spring, JPA)",8회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-12-19,2025-05-13,728,80,10,10,43.44,15
(주)이스트소프트,(06711) 서울특별시 서초구 반포대로 3 이스트소프트,"[이스트캠프]오르미 백엔드 개발(Java, Spring, JPA)",10회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2025-01-27,2025-06-17,728,80,23,7,43.44,10
쌍용교육센터,(135755) 서울특별시 강남구 테헤란로 132 한독약품빌딩 8층,AWS와 Docker & Kubernetes를 활용한 Java Full-Stack 개발자 양성과정,1회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2023-06-07,2023-12-19,1040,20,19,20,13.09,해당 정보 없음
쌍용교육센터,(135755) 서울특별시 강남구 테헤란로 132 한독약품빌딩 8층,AWS와 Docker & Kubernetes를 활용한 Java Full-Stack 개발자 양성과정,2회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2023-06-15,2023-12-21,1040,20,18,18,13.09,20
쌍용교육센터,(135755) 서울특별시 강남구 테헤란로 132 한독약품빌딩 8층,AWS와 Docker & Kubernetes를 활용한 Java Full-Stack 개발자 양성과정,3회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2023-12-26,2024-07-15,1040,22,21,21,13.09,18
쌍용교육센터,(135755) 서울특별시 강남구 테헤란로 132 한독약품빌딩 8층,AWS와 Docker & Kubernetes를 활용한 Java Full-Stack 개발자 양성과정,4회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-01-03,2024-07-15,1040,20,20,20,13.09,21
쌍용교육센터,(135755) 서울특별시 강남구 테헤란로 132 한독약품빌딩 8층,AWS와 Docker & Kubernetes를 활용한 Java Full-Stack 개발자 양성과정,5회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-03-25,2024-10-14,1040,20,18,18,13.09,20
쌍용교육센터,(135755) 서울특별시 강남구 테헤란로 132 한독약품빌딩 8층,AWS와 Docker & Kubernetes를 활용한 Java Full-Stack 개발자 양성과정,6회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-10-16,2025-04-25,1040,20,19,19,13.09,18
쌍용교육센터,(135755) 서울특별시 강남구 테헤란로 132 한독약품빌딩 8층,AWS와 Docker & Kubernetes를 활용한 Java Full-Stack 개발자 양성과정,7회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2025-01-13,2025-07-25,1040,30,29,28,13.09,19
쌍용교육센터,(135755) 서울특별시 강남구 테헤란로 132 한독약품빌딩 8층,AWS와 Docker & Kubernetes를 활용한 Java Full-Stack 개발자 양성과정,8회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2025-02-03,2025-08-08,1040,30,8,0,13.09,28
쌍용교육센터,(135755) 서울특별시 강남구 테헤란로 132 한독약품빌딩 8층,AWS와 Docker & Kubernetes를 활용한 Java Full-Stack 개발자 양성과정,9회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2025-02-17,2025-08-25,1040,30,2,0,13.09,해당 정보 없음
쌍용교육센터,(135755) 서울특별시 강남구 테헤란로 132 한독약품빌딩 8층,AWS와 Docker & Kubernetes를 활용한 Java Full-Stack 개발자 양성과정,10회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2025-03-04,2025-09-08,1040,30,1,0,13.09,해당 정보 없음
쌍용교육센터,(135755) 서울특별시 강남구 테헤란로 132 한독약품빌딩 8층,AWS와 Docker & Kubernetes를 활용한 Java Full-Stack 개발자 양성과정,11회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2025-04-30,2025-11-12,1040,30,0,0,13.09,해당 정보 없음
플레이데이터평생교육원,(06643) 서울특별시 서초구 효령로 335 (서초동 대호프레조빌) 1층 일부,한화시스템 BEYOND SW 캠프 - “청년들의 미래를 이끄는 프로그램”,1회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2023-10-30,2024-04-25,960,30,21,21,27.13,해당 정보 없음
플레이데이터평생교육원,(06643) 서울특별시 서초구 효령로 335 (서초동 대호프레조빌) 1층 일부,한화시스템 BEYOND SW 캠프 - “청년들의 미래를 이끄는 프로그램”,2회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2023-10-30,2024-04-22,960,30,28,28,27.13,21
플레이데이터평생교육원,(06643) 서울특별시 서초구 효령로 335 (서초동 대호프레조빌) 1층 일부,한화시스템 BEYOND SW 캠프 - “청년들의 미래를 이끄는 프로그램”,3회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2023-11-14,2024-05-09,960,30,27,27,27.13,28
플레이데이터평생교육원,(06643) 서울특별시 서초구 효령로 335 (서초동 대호프레조빌) 1층 일부,한화시스템 BEYOND SW 캠프 - “청년들의 미래를 이끄는 프로그램”,4회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2023-12-18,2024-06-14,960,30,30,30,27.13,27
플레이데이터평생교육원,(06643) 서울특별시 서초구 효령로 335 (서초동 대호프레조빌) 1층 일부,한화시스템 BEYOND SW 캠프 - “청년들의 미래를 이끄는 프로그램”,5회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-01-08,2024-07-03,960,30,30,30,27.13,30
플레이데이터평생교육원,(06643) 서울특별시 서초구 효령로 335 (서초동 대호프레조빌) 1층 일부,한화시스템 BEYOND SW 캠프 - “청년들의 미래를 이끄는 프로그램”,6회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-04-29,2024-10-28,960,30,30,30,27.13,30
플레이데이터평생교육원,(06643) 서울특별시 서초구 효령로 335 (서초동 대호프레조빌) 1층 일부,한화시스템 BEYOND SW 캠프 - “청년들의 미래를 이끄는 프로그램”,7회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-05-13,2024-11-06,960,30,30,30,27.13,30
플레이데이터평생교육원,(06643) 서울특별시 서초구 효령로 335 (서초동 대호프레조빌) 1층 일부,한화시스템 BEYOND SW 캠프 - “청년들의 미래를 이끄는 프로그램”,8회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-05-13,2024-11-08,960,30,29,29,27.13,30
플레이데이터평생교육원,(06643) 서울특별시 서초구 효령로 335 (서초동 대호프레조빌) 1층 일부,한화시스템 BEYOND SW 캠프 - “청년들의 미래를 이끄는 프로그램”,9회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-06-19,2024-12-12,960,30,30,30,27.13,29
플레이데이터평생교육원,(06643) 서울특별시 서초구 효령로 335 (서초동 대호프레조빌) 1층 일부,한화시스템 BEYOND SW 캠프 - “청년들의 미래를 이끄는 프로그램”,10회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-07-08,2025-01-07,960,30,30,30,27.13,30
플레이데이터평생교육원,(06643) 서울특별시 서초구 효령로 335 (서초동 대호프레조빌) 1층 일부,한화시스템 BEYOND SW 캠프 - “청년들의 미래를 이끄는 프로그램”,11회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-11-13,2025-05-14,960,30,16,16,27.13,30
플레이데이터평생교육원,(06643) 서울특별시 서초구 효령로 335 (서초동 대호프레조빌) 1층 일부,한화시스템 BEYOND SW 캠프 - “청년들의 미래를 이끄는 프로그램”,12회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-11-20,2025-05-21,960,30,26,26,27.13,16
플레이데이터평생교육원,(06643) 서울특별시 서초구 효령로 335 (서초동 대호프레조빌) 1층 일부,한화시스템 BEYOND SW 캠프 - “청년들의 미래를 이끄는 프로그램”,13회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-12-10,2025-06-11,960,30,23,23,27.13,26
플레이데이터평생교육원,(06643) 서울특별시 서초구 효령로 335 (서초동 대호프레조빌) 1층 일부,한화시스템 BEYOND SW 캠프 - “청년들의 미래를 이끄는 프로그램”,14회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-12-30,2025-06-30,960,30,29,29,27.13,23
플레이데이터평생교육원,(06643) 서울특별시 서초구 효령로 335 (서초동 대호프레조빌) 1층 일부,한화시스템 BEYOND SW 캠프 - “청년들의 미래를 이끄는 프로그램”,15회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2025-01-21,2025-07-18,960,30,41,28,27.13,29
주식회사멋쟁이사자처럼,"(03155) 서울특별시 종로구 종로3길 17 (청진동 D타워) 16, 17층",멋쟁이사자처럼 디자인 스쿨,1회차,UI/UX엔지니어링(20010207),K-디지털 트레이닝,2023-05-09,2023-09-01,720,60,58,58,64.75,해당 정보 없음
주식회사멋쟁이사자처럼,"(03155) 서울특별시 종로구 종로3길 17 (청진동 D타워) 16, 17층",멋쟁이사자처럼 디자인 스쿨,2회차,UI/UX엔지니어링(20010207),K-디지털 트레이닝,2024-01-08,2024-05-20,720,60,59,59,64.75,58
주식회사멋쟁이사자처럼,"(03155) 서울특별시 종로구 종로3길 17 (청진동 D타워) 16, 17층",멋쟁이사자처럼 디자인 스쿨,3회차,UI/UX엔지니어링(20010207),K-디지털 트레이닝,2024-08-12,2024-12-23,720,60,60,60,64.75,59
주식회사멋쟁이사자처럼,"(03155) 서울특별시 종로구 종로3길 17 (청진동 D타워) 16, 17층",멋쟁이사자처럼 디자인 스쿨,4회차,UI/UX엔지니어링(20010207),K-디지털 트레이닝,2024-11-29,2025-04-22,720,120,82,82,64.75,60
