기관명,과정명,회차,모집인원,수강신청인원,수강확정인원,수료인원,평균 인원,전회차 인원,6개월후_취업률,만족도_평균점수,만족도_응답자수,개강일,종강일,직종,훈련유형,훈련시간,주소
주식회사멋쟁이사자처럼,멋쟁이사자처럼 프론트엔드 스쿨,6회차,110,99,99,89,68.4,110,31.5,95.9,97,2023-02-27,2023-06-30,응용SW엔지니어링(20010202),K-디지털 트레이닝,640,"(03155) 서울특별시 종로구 종로3길 17 (청진동 D타워) 16, 17층"
주식회사멋쟁이사자처럼,멋쟁이사자처럼 프론트엔드 스쿨,7회차,110,71,71,52,68.4,99,30.8,89.1,64,2023-05-24,2023-09-26,응용SW엔지니어링(20010202),K-디지털 트레이닝,640,"(03155) 서울특별시 종로구 종로3길 17 (청진동 D타워) 16, 17층"
주식회사멋쟁이사자처럼,멋쟁이사자처럼 프론트엔드 스쿨,8회차,110,88,88,77,68.4,71,40.3,88.2,86,2023-07-03,2023-11-10,응용SW엔지니어링(20010202),K-디지털 트레이닝,640,"(03155) 서울특별시 종로구 종로3길 17 (청진동 D타워) 16, 17층"
주식회사멋쟁이사자처럼,멋쟁이사자처럼 프론트엔드 스쿨,9회차,110,44,44,34,68.4,88,44.1,94.8,44,2023-10-23,2024-03-15,응용SW엔지니어링(20010202),K-디지털 트레이닝,640,"(03155) 서울특별시 종로구 종로3길 17 (청진동 D타워) 16, 17층"
주식회사멋쟁이사자처럼,멋쟁이사자처럼 프론트엔드 스쿨,10회차,110,40,40,34,68.4,44,58.8,91.5,37,2023-12-04,2024-04-26,응용SW엔지니어링(20010202),K-디지털 트레이닝,640,"(03155) 서울특별시 종로구 종로3길 17 (청진동 D타워) 16, 17층"
에이아이아카데미학원,클라우드기반 AI 서비스 개발자 양성과정,3회차,30,17,17,10,14.5,12,90.0,90.5,9,2023-02-27,2023-08-25,응용SW엔지니어링(20010202),K-디지털 트레이닝,992,(06134) 서울특별시 강남구 역삼동 강남대로94길 20 삼오빌딩 7층
에이아이아카데미학원,클라우드기반 AI 서비스 개발자 양성과정,4회차,30,12,12,11,14.5,17,81.8,96.1,11,2023-12-28,2024-06-28,응용SW엔지니어링(20010202),K-디지털 트레이닝,992,(06134) 서울특별시 강남구 역삼동 강남대로94길 20 삼오빌딩 7층
하이미디어아카데미인재개발원,React.js와 Springboot를 활용한 자바 풀스택 개발자,4회차,30,25,25,18,22.4,30,44.4,86.5,18,2023-03-10,2023-08-22,응용SW엔지니어링(20010202),K-디지털 트레이닝,900,"(03163) 서울특별시 종로구 인사동길 12 7층, 15층"
하이미디어아카데미인재개발원,React.js와 Springboot를 활용한 자바 풀스택 개발자,5회차,30,26,26,21,22.4,25,61.9,94.3,20,2023-03-27,2023-09-14,응용SW엔지니어링(20010202),K-디지털 트레이닝,900,"(03163) 서울특별시 종로구 인사동길 12 7층, 15층"
하이미디어아카데미인재개발원,React.js와 Springboot를 활용한 자바 풀스택 개발자,6회차,30,23,23,21,22.4,26,33.3,92.1,20,2023-07-04,2023-12-22,응용SW엔지니어링(20010202),K-디지털 트레이닝,900,"(03163) 서울특별시 종로구 인사동길 12 7층, 15층"
하이미디어아카데미인재개발원,React.js와 Springboot를 활용한 자바 풀스택 개발자,7회차,30,23,23,20,22.4,23,45.0,86.4,21,2023-09-19,2024-02-29,응용SW엔지니어링(20010202),K-디지털 트레이닝,900,"(03163) 서울특별시 종로구 인사동길 12 7층, 15층"
하이미디어아카데미인재개발원,React.js와 Springboot를 활용한 자바 풀스택 개발자,8회차,30,15,15,11,22.4,23,63.6,100,10,2023-12-11,2024-06-01,응용SW엔지니어링(20010202),K-디지털 트레이닝,900,"(03163) 서울특별시 종로구 인사동길 12 7층, 15층"
주식회사멋쟁이사자처럼,멋쟁이사자처럼 블록체인 스쿨,2회차,80,43,43,29,35.5,70,34.5,89.2,37,2023-03-10,2023-07-14,응용SW엔지니어링(20010202),K-디지털 트레이닝,640,"(03155) 서울특별시 종로구 종로3길 17 (청진동 D타워) 16, 17층"
주식회사멋쟁이사자처럼,멋쟁이사자처럼 블록체인 스쿨,3회차,80,28,28,15,35.5,43,26.7,88.9,18,2023-10-18,2024-02-29,응용SW엔지니어링(20010202),K-디지털 트레이닝,640,"(03155) 서울특별시 종로구 종로3길 17 (청진동 D타워) 16, 17층"
이젠아카데미 DX교육센터,AWS 프론트엔드 풀스택 웹서비스개발(데이터분석 플랫폼),2회차,30,30,30,23,21.67,25,82.6,97,24,2023-03-21,2023-08-25,응용SW엔지니어링(20010202),K-디지털 트레이닝,860,"(03189) 서울특별시 종로구 우정국로2길 37(관철동, 청문학원) 5층,6층"
이젠아카데미 DX교육센터,AWS 프론트엔드 풀스택 웹서비스개발(데이터분석 플랫폼),3회차,30,24,24,20,21.67,30,55.0,92.5,21,2023-09-13,2024-02-27,응용SW엔지니어링(20010202),K-디지털 트레이닝,860,"(03189) 서울특별시 종로구 우정국로2길 37(관철동, 청문학원) 5층,6층"
이젠아카데미 DX교육센터,AWS 프론트엔드 풀스택 웹서비스개발(데이터분석 플랫폼),4회차,30,11,11,8,21.67,24,50.0,98.2,8,2023-12-01,2024-05-10,응용SW엔지니어링(20010202),K-디지털 트레이닝,860,"(03189) 서울특별시 종로구 우정국로2길 37(관철동, 청문학원) 5층,6층"
대한상공회의소,[마이크로소프트] Microsoft AI School,4회차,30,22,22,12,21.5,22,58.3,84.7,14,2023-04-03,2023-09-19,응용SW엔지니어링(20010202),K-디지털 트레이닝,956,(04513) 서울특별시 중구 세종대로 39 17층 대한상공회의소 인력개발사업단
대한상공회의소,[마이크로소프트] Microsoft AI School,5회차,30,20,20,14,21.5,22,50.0,84.6,13,2023-04-03,2023-09-19,응용SW엔지니어링(20010202),K-디지털 트레이닝,956,(04513) 서울특별시 중구 세종대로 39 17층 대한상공회의소 인력개발사업단
대한상공회의소,[마이크로소프트] Microsoft AI School,6회차,30,16,16,9,21.5,20,22.2,76.2,9,2023-04-03,2023-09-19,응용SW엔지니어링(20010202),K-디지털 트레이닝,956,(04513) 서울특별시 중구 세종대로 39 17층 대한상공회의소 인력개발사업단
대한상공회의소,[마이크로소프트] Microsoft AI School,7회차,30,22,22,11,21.5,16,45.5,81.8,11,2023-04-03,2023-09-19,응용SW엔지니어링(20010202),K-디지털 트레이닝,956,(04513) 서울특별시 중구 세종대로 39 17층 대한상공회의소 인력개발사업단
대한상공회의소,[마이크로소프트] Microsoft AI School,8회차,30,20,20,16,21.5,22,31.3,78.1,15,2023-04-03,2023-09-19,응용SW엔지니어링(20010202),K-디지털 트레이닝,956,(04513) 서울특별시 중구 세종대로 39 17층 대한상공회의소 인력개발사업단
대한상공회의소,[마이크로소프트] Microsoft AI School,9회차,30,20,20,13,21.5,20,38.5,86.8,13,2023-04-03,2023-09-19,응용SW엔지니어링(20010202),K-디지털 트레이닝,956,(04513) 서울특별시 중구 세종대로 39 17층 대한상공회의소 인력개발사업단
대한상공회의소,[마이크로소프트] Microsoft AI School,10회차,30,25,25,17,21.5,20,23.5,80,15,2023-06-26,2023-12-15,응용SW엔지니어링(20010202),K-디지털 트레이닝,956,(04513) 서울특별시 중구 세종대로 39 17층 대한상공회의소 인력개발사업단
대한상공회의소,[마이크로소프트] Microsoft AI School,11회차,30,22,22,16,21.5,25,62.6,84.1,18,2023-06-26,2023-12-15,응용SW엔지니어링(20010202),K-디지털 트레이닝,956,(04513) 서울특별시 중구 세종대로 39 17층 대한상공회의소 인력개발사업단
대한상공회의소,[마이크로소프트] Microsoft AI School,12회차,30,29,29,18,21.5,22,50.0,83.3,18,2023-06-26,2023-12-15,응용SW엔지니어링(20010202),K-디지털 트레이닝,956,(04513) 서울특별시 중구 세종대로 39 17층 대한상공회의소 인력개발사업단
대한상공회의소,[마이크로소프트] Microsoft AI School,13회차,30,19,19,12,21.5,29,33.3,80.5,11,2023-06-26,2023-12-15,응용SW엔지니어링(20010202),K-디지털 트레이닝,956,(04513) 서울특별시 중구 세종대로 39 17층 대한상공회의소 인력개발사업단
더조은컴퓨터아카데미 종로,빅데이터분석(with 파이썬)과 엘라스틱서치를 활용한 자바(Java)웹개발자양성,5회차,30,29,29,22,20.33,16,54.5,74.9,25,2023-04-05,2023-11-23,빅데이터분석(20010105),K-디지털 트레이닝,1220,(03189) 서울특별시 종로구 우정국로2길 21 (관철동 대왕빌딩) 9층
더조은컴퓨터아카데미 종로,빅데이터분석(with 파이썬)과 엘라스틱서치를 활용한 자바(Java)웹개발자양성,6회차,20,18,18,12,20.33,29,41.7,95.2,15,2023-07-24,2024-03-07,빅데이터분석(20010105),K-디지털 트레이닝,1220,(03189) 서울특별시 종로구 우정국로2길 21 (관철동 대왕빌딩) 9층
더조은컴퓨터아카데미 종로,빅데이터분석(with 파이썬)과 엘라스틱서치를 활용한 자바(Java)웹개발자양성,7회차,20,14,14,8,20.33,18,25.0,74.3,10,2023-11-29,2024-07-12,빅데이터분석(20010105),K-디지털 트레이닝,1220,(03189) 서울특별시 종로구 우정국로2길 21 (관철동 대왕빌딩) 9층
주식회사멋쟁이사자처럼,멋쟁이사자처럼 앱/안드로이드 스쿨,1회차,80,38,38,32,39.5,해당 정보 없음,25.0,92,34,2023-04-24,2023-09-26,응용SW엔지니어링(20010202),K-디지털 트레이닝,800,"(03155) 서울특별시 종로구 종로3길 17 (청진동 D타워) 16, 17층"
주식회사멋쟁이사자처럼,멋쟁이사자처럼 앱/안드로이드 스쿨,2회차,80,41,41,30,39.5,38,53.3,82.3,33,2023-12-26,2024-06-13,응용SW엔지니어링(20010202),K-디지털 트레이닝,800,"(03155) 서울특별시 종로구 종로3길 17 (청진동 D타워) 16, 17층"
하이미디어아카데미인재개발원,스마트웹 모바일 서비스를 위한 클라우드 기반의 MSA 풀스택 자바 개발자,5회차,30,18,18,12,17.5,29,33.3,40.5,12,2023-04-25,2023-10-20,응용SW엔지니어링(20010202),K-디지털 트레이닝,960,"(03163) 서울특별시 종로구 인사동길 12 7층, 15층"
하이미디어아카데미인재개발원,스마트웹 모바일 서비스를 위한 클라우드 기반의 MSA 풀스택 자바 개발자,6회차,30,17,17,11,17.5,18,45.5,87,11,2023-06-08,2023-12-08,응용SW엔지니어링(20010202),K-디지털 트레이닝,960,"(03163) 서울특별시 종로구 인사동길 12 7층, 15층"
주식회사멋쟁이사자처럼,멋쟁이사자처럼 디자인 스쿨,1회차,60,58,58,47,58.0,해당 정보 없음,44.7,87.9,52,2023-05-09,2023-09-01,UI/UX엔지니어링(20010207),K-디지털 트레이닝,640,"(03155) 서울특별시 종로구 종로3길 17 (청진동 D타워) 16, 17층"
더조은컴퓨터아카데미 종로,클라우드(AWS) 환경에서 개발하는 풀스택(프론트엔드&백엔드) 자바(JAVA)웹&앱,1회차,30,18,18,10,18.33,해당 정보 없음,50.0,74,11,2023-05-10,2023-12-21,응용SW엔지니어링(20010202),K-디지털 트레이닝,1202,(03189) 서울특별시 종로구 우정국로2길 21 (관철동 대왕빌딩) 9층
더조은컴퓨터아카데미 종로,클라우드(AWS) 환경에서 개발하는 풀스택(프론트엔드&백엔드) 자바(JAVA)웹&앱,2회차,30,12,13,6,18.33,18,16.7,55.4,8,2023-10-11,2024-05-20,응용SW엔지니어링(20010202),K-디지털 트레이닝,1202,(03189) 서울특별시 종로구 우정국로2길 21 (관철동 대왕빌딩) 9층
더조은컴퓨터아카데미 종로,클라우드(AWS) 환경에서 개발하는 풀스택(프론트엔드&백엔드) 자바(JAVA)웹&앱,3회차,30,24,24,6개월이 안 지났거나 해당 정보 없음,18.33,13,6개월이 안 지났거나 해당 정보 없음,77.9,20,2023-12-27,2024-08-05,응용SW엔지니어링(20010202),K-디지털 트레이닝,1202,(03189) 서울특별시 종로구 우정국로2길 21 (관철동 대왕빌딩) 9층
케이지에듀원 아이티뱅크종로학원,하이브리드 및 멀티클라우드 아키텍트 양성 과정,2회차,25,25,25,23,23.0,19,60.8,77.4,24,2023-05-11,2023-10-16,IT시스템관리(20010301),K-디지털 트레이닝,800,(03138) 서울특별시 종로구 돈화문로 26 (묘동 단성사) 4층
케이지에듀원 아이티뱅크종로학원,하이브리드 및 멀티클라우드 아키텍트 양성 과정,3회차,25,21,21,17,23.0,25,70.6,87.3,18,2023-10-23,2024-03-20,IT시스템관리(20010301),K-디지털 트레이닝,800,(03138) 서울특별시 종로구 돈화문로 26 (묘동 단성사) 4층
