기관명,주소,과정명,회차,직종,훈련유형,개강일,종강일,훈련시간,모집인원,수강신청인원,수강확정인원,수료인원,평균 인원,전회차 인원,만족도_평균점수,만족도_응답자수,6개월후_취업률
플레이데이터평생교육원,(06643) 서울특별시 서초구 효령로 335 (서초동 대호프레조빌) 1층 일부,한화시스템 BEYOND SW 캠프 - “청년들의 미래를 이끄는 프로그램”,10회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-07-08,2025-01-07,960,30,30,30,6개월이 안 지났거나 해당 정보 없음,27.3,30,95.7,23,6개월이 안 지났거나 해당 정보 없음
플레이데이터평생교육원,(06643) 서울특별시 서초구 효령로 335 (서초동 대호프레조빌) 1층 일부,한화시스템 BEYOND SW 캠프 - “청년들의 미래를 이끄는 프로그램”,11회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-11-13,2025-05-14,960,30,16,16,6개월이 안 지났거나 해당 정보 없음,27.3,30,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
플레이데이터평생교육원,(06643) 서울특별시 서초구 효령로 335 (서초동 대호프레조빌) 1층 일부,한화시스템 BEYOND SW 캠프 - “청년들의 미래를 이끄는 프로그램”,12회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-11-20,2025-05-21,960,30,26,26,6개월이 안 지났거나 해당 정보 없음,27.3,16,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
플레이데이터평생교육원,(06643) 서울특별시 서초구 효령로 335 (서초동 대호프레조빌) 1층 일부,한화시스템 BEYOND SW 캠프 - “청년들의 미래를 이끄는 프로그램”,13회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-12-10,2025-06-11,960,30,23,23,6개월이 안 지났거나 해당 정보 없음,27.3,26,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
플레이데이터평생교육원,(06643) 서울특별시 서초구 효령로 335 (서초동 대호프레조빌) 1층 일부,한화시스템 BEYOND SW 캠프 - “청년들의 미래를 이끄는 프로그램”,14회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-12-30,2025-06-30,960,30,29,29,6개월이 안 지났거나 해당 정보 없음,27.3,23,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
주식회사멋쟁이사자처럼,"(03155) 서울특별시 종로구 종로3길 17 (청진동 D타워) 16, 17층",멋쟁이사자처럼 디자인 스쿨,2회차,UI/UX엔지니어링(20010207),K-디지털 트레이닝,2024-01-08,2024-05-20,720,60,59,59,46,67.0,58,86.5,55,69.5
주식회사멋쟁이사자처럼,"(03155) 서울특별시 종로구 종로3길 17 (청진동 D타워) 16, 17층",멋쟁이사자처럼 디자인 스쿨,3회차,UI/UX엔지니어링(20010207),K-디지털 트레이닝,2024-08-12,2024-12-23,720,60,60,60,6개월이 안 지났거나 해당 정보 없음,67.0,59,79.7,50,6개월이 안 지났거나 해당 정보 없음
주식회사멋쟁이사자처럼,"(03155) 서울특별시 종로구 종로3길 17 (청진동 D타워) 16, 17층",멋쟁이사자처럼 디자인 스쿨,4회차,UI/UX엔지니어링(20010207),K-디지털 트레이닝,2024-11-29,2025-04-22,720,120,82,82,6개월이 안 지났거나 해당 정보 없음,67.0,60,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
더조은컴퓨터아카데미학원,(04058) 서울특별시 마포구 신촌로 94 (노고산동 그랜드플라자) 7층(노고산동),IT부트캠프 프로젝트 기반 AWS 자바(스프링부트&리액트) 풀스택 개발자 양성,4회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-01-08,2024-07-25,1040,20,9,9,6개월이 안 지났거나 해당 정보 없음,12.6,10,87.8,7,6개월이 안 지났거나 해당 정보 없음
더조은컴퓨터아카데미학원,(04058) 서울특별시 마포구 신촌로 94 (노고산동 그랜드플라자) 7층(노고산동),IT부트캠프 프로젝트 기반 AWS 자바(스프링부트&리액트) 풀스택 개발자 양성,5회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-03-06,2024-09-10,1040,20,18,18,6개월이 안 지났거나 해당 정보 없음,12.6,9,80.7,17,6개월이 안 지났거나 해당 정보 없음
더조은컴퓨터아카데미학원,(04058) 서울특별시 마포구 신촌로 94 (노고산동 그랜드플라자) 7층(노고산동),IT부트캠프 프로젝트 기반 AWS 자바(스프링부트&리액트) 풀스택 개발자 양성,6회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-05-16,2024-11-22,1040,20,12,12,6개월이 안 지났거나 해당 정보 없음,12.6,18,62.5,8,6개월이 안 지났거나 해당 정보 없음
더조은컴퓨터아카데미학원,(04058) 서울특별시 마포구 신촌로 94 (노고산동 그랜드플라자) 7층(노고산동),IT부트캠프 프로젝트 기반 AWS 자바(스프링부트&리액트) 풀스택 개발자 양성,7회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-09-02,2025-03-26,1040,20,11,11,6개월이 안 지났거나 해당 정보 없음,12.6,12,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
더조은컴퓨터아카데미학원,(04058) 서울특별시 마포구 신촌로 94 (노고산동 그랜드플라자) 7층(노고산동),IT부트캠프 프로젝트 기반 AWS 자바(스프링부트&리액트) 풀스택 개발자 양성,8회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-10-22,2025-05-07,1040,20,13,13,6개월이 안 지났거나 해당 정보 없음,12.6,11,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
