기관명,과정명,회차,수강확정인원,수료인원,6개월후_취업률,직종,과정상황,수강신청인원,모집인원,훈련유형,개강일,종강일,주소,만족도_평균점수
(주)솔데스크,Ansible 자동화로 구현한 클라우드 환경 DevOps,12,해당 정보 없음,0,미실시,IT시스템관리,미실시,0,30,K-디지털트레이닝,2023-12-29,2024-06-20,서울 종로구,4.42
(주)솔데스크,그래픽 기반의 실시간 AI서비스를 활용한 cross-platform 개발자 양성과정,4,20,14,35.7,응용SW엔지니어링,과정 종료,22,30,K-디지털트레이닝,2023-01-18,2023-07-24,서울 종로구,4.54
(주)솔데스크,그래픽 기반의 실시간 AI서비스를 활용한 cross-platform 개발자 양성과정,5,30,22,50.0,응용SW엔지니어링,과정 종료,36,30,K-디지털트레이닝,2023-03-28,2023-09-19,서울 종로구,4.54
(주)솔데스크,그래픽 기반의 실시간 AI서비스를 활용한 cross-platform 개발자 양성과정,6,27,18,61.1,응용SW엔지니어링,과정 종료,37,30,K-디지털트레이닝,2023-07-04,2024-01-09,서울 종로구,4.54
(주)솔데스크,그래픽 기반의 실시간 AI서비스를 활용한 cross-platform 개발자 양성과정,7,30,25,44.0,응용SW엔지니어링,과정 종료,37,30,K-디지털트레이닝,2023-07-26,2024-01-30,서울 종로구,4.54
(주)솔데스크,그래픽 기반의 실시간 AI서비스를 활용한 cross-platform 개발자 양성과정,8,26,18,44.5,응용SW엔지니어링,과정 종료,30,30,K-디지털트레이닝,2023-10-24,2024-04-25,서울 종로구,4.54
(주)솔데스크,빅데이터 활용 인공지능 기반 개인화 서비스 구축 개발자 과정,7,30,23,47.8,빅데이터분석,과정 종료,31,30,K-디지털트레이닝,2023-01-27,2023-07-21,서울 종로구,4.54
(주)솔데스크,빅데이터 활용 인공지능 기반 개인화 서비스 구축 개발자 과정,8,29,23,78.3,빅데이터분석,과정 종료,50,30,K-디지털트레이닝,2023-07-25,2024-01-18,서울 종로구,4.54
(주)솔데스크,빅데이터 활용 인공지능 기반 개인화 서비스 구축 개발자 과정,9,29,22,72.7,빅데이터분석,과정 종료,36,30,K-디지털트레이닝,2023-07-26,2024-01-24,서울 종로구,4.54
(주)솔데스크,빅데이터 활용 인공지능 기반 개인화 서비스 구축 개발자 과정,10,19,14,50.0,빅데이터분석,과정 종료,19,30,K-디지털트레이닝,2023-08-17,2024-03-15,서울 종로구,4.54
(주)솔데스크,빅데이터 활용 인공지능 기반 개인화 서비스 구축 개발자 과정,11,해당 정보 없음,0,미실시,빅데이터분석,미실시,0,30,K-디지털트레이닝,2023-12-29,2024-06-20,서울 종로구,4.54
(주)솔데스크,자바 & 파이썬 활용 통계 기반 빅데이터 개발자 과정,5,30,23,47.8,빅데이터분석,과정 종료,33,30,K-디지털트레이닝,2023-02-21,2023-08-16,서울 종로구,4.12
(주)솔데스크,자바 & 파이썬 활용 통계 기반 빅데이터 개발자 과정,6,29,16,43.8,빅데이터분석,과정 종료,42,30,K-디지털트레이닝,2023-05-23,2023-11-16,서울 종로구,4.12
(주)솔데스크,자바 & 파이썬 활용 통계 기반 빅데이터 개발자 과정,7,21,10,50.0,빅데이터분석,과정 종료,29,30,K-디지털트레이닝,2023-08-22,2024-02-21,서울 종로구,4.12
그린컴퓨터아트학원,『기업연계 프로젝트형』 웹디자인(웹퍼블리셔)&프론트엔드 SW개발자 양성,3,19,15,86.7,응용SW엔지니어링,과정 종료,27,20,K-디지털트레이닝,2023-05-12,2023-10-31,서울 종로구,4.71
그린컴퓨터아트학원,『기업연계 프로젝트형』 웹디자인(웹퍼블리셔)&프론트엔드 SW개발자 양성,4,11,8,50.0,응용SW엔지니어링,과정 종료,17,20,K-디지털트레이닝,2023-12-27,2024-06-26,서울 종로구,4.71
대한상공회의소,SAP Young Next Cloud Academy,13,25,24,95.8,응용SW엔지니어링,과정 종료,26,25,K-디지털트레이닝,2023-06-27,2023-12-20,서울 중구,4.58
대한상공회의소,SAP Young Next Cloud Academy,14,25,24,70.9,응용SW엔지니어링,과정 종료,27,25,K-디지털트레이닝,2023-06-27,2023-12-20,서울 중구,4.58
대한상공회의소,SAP Young Next Cloud Academy,15,25,23,87.0,응용SW엔지니어링,과정 종료,29,25,K-디지털트레이닝,2023-06-27,2023-12-20,서울 중구,4.58
