기관명,과정명,회차,모집인원,수강신청인원,수강확정인원,수료인원,평균 인원,전회차 인원,6개월후_취업률,만족도_평균점수,만족도_응답자수,개강일,종강일,직종,훈련유형,훈련시간,주소
패스트캠퍼스강남학원,백엔드 개발 부트캠프,2,40,34,34,19,29.5,25,52.6,78.3,23,2022-12-12,2023-06-30,응용SW엔지니어링(20010202),K-디지털 트레이닝,883,"(06241) 서울특별시 강남구 강남대로 364 미왕빌딩 10층, 11층"
한국정보교육원(구.경원직업전문학교),웹 프론트엔드 클라우드 콘솔 개발자 양성,1,25,13,13,10,12.0,해당 정보 없음,100.0,92.5,8,2022-10-24,2023-04-17,응용SW엔지니어링(20010202),K-디지털 트레이닝,984,"(08708) 서울특별시 관악구 봉천로 227 (봉천동 보라매샤르망) 5층, 6층 일부, 7층"
한국정보교육원(구.경원직업전문학교),웹 프론트엔드 클라우드 콘솔 개발자 양성,2,25,11,11,9,12.0,13,88.9,91.1,9,2022-12-26,2023-06-22,응용SW엔지니어링(20010202),K-디지털 트레이닝,984,"(08708) 서울특별시 관악구 봉천로 227 (봉천동 보라매샤르망) 5층, 6층 일부, 7층"
아시아경제 교육센터,빅데이터 분석 및 서비스기획 부트캠프,1,25,12,12,9,12.0,해당 정보 없음,33.3,92.7,11,2022-10-24,2023-02-02,빅데이터분석(20010105),K-디지털 트레이닝,564,(04627) 서울특별시 중구 퇴계로 166 (주자동 흥국빌딩) 2층 1호
더조은컴퓨터학원,AWS 클라우드 기반 자바&스프링&리액트 풀스택 개발자 양성,1,25,19,19,17,15.5,해당 정보 없음,58.8,75.8,19,2022-10-25,2023-04-13,응용SW엔지니어링(20010202),K-디지털 트레이닝,960,"(08378) 서울특별시 구로구 디지털로 306 (구로동 대륭포스트타워2차) 203호 일부,205호,212호"
더조은컴퓨터학원,AWS 클라우드 기반 자바&스프링&리액트 풀스택 개발자 양성,2,25,12,12,11,15.5,19,45.5,80,11,2022-12-19,2023-06-13,응용SW엔지니어링(20010202),K-디지털 트레이닝,960,"(08378) 서울특별시 구로구 디지털로 306 (구로동 대륭포스트타워2차) 203호 일부,205호,212호"
그린컴퓨터아트학원,『기업연계 프로젝트형』 웹디자인(웹퍼블리셔)&프론트엔드 SW개발자 양성,1,20,20,20,16,20.0,해당 정보 없음,43.8,93.8,16,2022-10-27,2023-04-19,응용SW엔지니어링(20010202),K-디지털 트레이닝,960,"(03192) 서울특별시 종로구 수표로 96 (관수동 국일관드림펠리스) 2층, 5층 일부 그린컴퓨터아트학원"
그린컴퓨터아트학원,『기업연계 프로젝트형』 웹디자인(웹퍼블리셔)&프론트엔드 SW개발자 양성,2,20,20,20,20,20.0,20,70.0,96.7,18,2022-11-29,2023-05-23,응용SW엔지니어링(20010202),K-디지털 트레이닝,960,"(03192) 서울특별시 종로구 수표로 96 (관수동 국일관드림펠리스) 2층, 5층 일부 그린컴퓨터아트학원"
그린아이티아카데미학원,기업의 수요를 반영한 자바 및 스프링 프레임워크 기반 풀스택 개발자 과정,1,20,20,20,12,22.5,해당 정보 없음,91.6,87.7,13,2022-10-28,2023-04-21,응용SW엔지니어링(20010202),K-디지털 트레이닝,984,"(06129) 서울특별시 강남구 강남대로96길 16 (역삼동) 2-4층, 5층 일부(역삼동)"
그린아이티아카데미학원,기업의 수요를 반영한 자바 및 스프링 프레임워크 기반 풀스택 개발자 과정,2,30,25,25,15,22.5,20,66.7,83.2,19,2022-12-12,2023-06-14,응용SW엔지니어링(20010202),K-디지털 트레이닝,984,"(06129) 서울특별시 강남구 강남대로96길 16 (역삼동) 2-4층, 5층 일부(역삼동)"
