기관명,주소,과정명,회차,직종,훈련유형,개강일,종강일,훈련시간,모집인원,수강신청인원,수강확정인원,평균 인원,전회차 인원,만족도_평균점수,만족도_응답자수,6개월후_취업률_퍼센트,6개월후_취업률_기준인원
그린컴퓨터아트학원,"(03192) 서울특별시 종로구 수표로 96 (관수동 국일관드림펠리스) 2층, 5층 일부 그린컴퓨터아트학원",『프로젝트기반』프론트엔드 개발자 양성(Figma/React/Next.js/PHP/Mysql/chatGPT),2회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2025-02-06,2025-08-05,1000,20,1,1,6.0,11,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
더조은컴퓨터아카데미 종로,(03189) 서울특별시 종로구 우정국로2길 21 (관철동 대왕빌딩) 9층,빅데이터분석(ElasticStack)활용&자바웹개발자,1회차,빅데이터분석(20010105),K-디지털 트레이닝,2024-12-31,2025-07-22,1090,25,10,10,2.5,해당 정보 없음,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
더조은컴퓨터아카데미 종로,(03189) 서울특별시 종로구 우정국로2길 21 (관철동 대왕빌딩) 9층,빅데이터분석(ElasticStack)활용&자바웹개발자,2회차,빅데이터분석(20010105),K-디지털 트레이닝,2025-02-20,2025-09-05,1090,25,0,0,2.5,10,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
더조은컴퓨터아카데미 종로,(03189) 서울특별시 종로구 우정국로2길 21 (관철동 대왕빌딩) 9층,빅데이터분석(ElasticStack)활용&자바웹개발자,3회차,빅데이터분석(20010105),K-디지털 트레이닝,2025-02-06,2025-08-22,1090,25,0,0,2.5,해당 정보 없음,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
더조은컴퓨터아카데미 종로,(03189) 서울특별시 종로구 우정국로2길 21 (관철동 대왕빌딩) 9층,빅데이터분석(ElasticStack)활용&자바웹개발자,4회차,빅데이터분석(20010105),K-디지털 트레이닝,2025-02-13,2025-08-29,1090,25,0,0,2.5,해당 정보 없음,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
중앙HTA IT교육원,(03134) 서울특별시 종로구 율곡로10길 105 (봉익동 디아망 쥬얼리) 4층,"Public Cloud 활용 자바(JAVA) 웹 애플리케이션(Spring, Docker) 개발자 양성과정",1회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2023-06-12,2023-12-27,1080,20,8,8,13.67,해당 정보 없음,78.6,(6 명),50.0,6
중앙HTA IT교육원,(03134) 서울특별시 종로구 율곡로10길 105 (봉익동 디아망 쥬얼리) 4층,"Public Cloud 활용 자바(JAVA) 웹 애플리케이션(Spring, Docker) 개발자 양성과정",2회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2023-07-31,2024-02-19,1080,30,16,16,13.67,8,78,(13 명),37.5,8
중앙HTA IT교육원,(03134) 서울특별시 종로구 율곡로10길 105 (봉익동 디아망 쥬얼리) 4층,"Public Cloud 활용 자바(JAVA) 웹 애플리케이션(Spring, Docker) 개발자 양성과정",3회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2023-09-11,2024-03-29,1080,28,10,10,13.67,16,88.9,(9 명),66.7,9
중앙HTA IT교육원,(03134) 서울특별시 종로구 율곡로10길 105 (봉익동 디아망 쥬얼리) 4층,"Public Cloud 활용 자바(JAVA) 웹 애플리케이션(Spring, Docker) 개발자 양성과정",4회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2023-10-23,2024-05-16,1080,30,13,13,13.67,10,91.7,(12 명),66.6,12
중앙HTA IT교육원,(03134) 서울특별시 종로구 율곡로10길 105 (봉익동 디아망 쥬얼리) 4층,"Public Cloud 활용 자바(JAVA) 웹 애플리케이션(Spring, Docker) 개발자 양성과정",5회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-01-29,2024-08-23,1080,20,19,19,13.67,13,80.7,(17 명),6개월이 안 지났거나 해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
