기관명,직종,예측_취업률,진행_횟수
한국정보교육원(구.경원직업전문학교),응용SW엔지니어링(20010202),67.30238095,9
코리아아이티(IT)아카데미학원,응용SW엔지니어링(20010202),66.7,1
네이버클라우드주식회사,응용SW엔지니어링(20010202),66.62467532,15
에이콘아카데미(강남),응용SW엔지니어링(20010202),66.58571429,8
팀스파르타주식회사,응용SW엔지니어링(20010202),64.48739496,22
팀스파르타주식회사,빅데이터분석(20010105),63.8,1
하이미디어아카데미인재개발원,응용SW엔지니어링(20010202),62.54260977,21
주식회사경일게임아이티아카데미,응용SW엔지니어링(20010202),61.8,9
주식회사멋쟁이사자처럼,빅데이터분석(20010105),61,2
패스트캠퍼스강남학원,응용SW엔지니어링(20010202),61,10
(주)케이지에듀원 아이티뱅크노량진학원,IT시스템관리(20010301),60.85,2
중앙정보처리학원,빅데이터분석(20010105),58.08333333,5
더조은컴퓨터학원,응용SW엔지니어링(20010202),57.95238095,13
코드잇 평생교육원,응용SW엔지니어링(20010202),57.825,4
한국직업전문학교,응용SW엔지니어링(20010202),57.675,9
한경닷컴IT교육센터,빅데이터분석(20010105),57.3,3
서울IT아카데미 홍대,빅데이터분석(20010105),57.1,1
(주)솔데스크,IT시스템관리(20010301),56.07454545,21
하이미디어아카데미,응용SW엔지니어링(20010202),55.62,7
중앙HTA IT교육원,응용SW엔지니어링(20010202),55.2,4
휴먼IT교육센터_국비지원무료교육,빅데이터분석(20010105),53.15714286,7
주식회사멋쟁이사자처럼,응용SW엔지니어링(20010202),52.850999,37
한국ICT인재개발원,응용SW엔지니어링(20010202),52.43333333,12
글로벌아이티(IT)인재개발학원,빅데이터분석(20010105),51.43333333,6
에이콘아카데미 홍대학원,빅데이터분석(20010105),51.3,2
케이아이씨캠퍼스학원,응용SW엔지니어링(20010202),50.6,2
대한상공회의소 서울기술교육센터,응용SW엔지니어링(20010202),50.6,2
(주)솔데스크,빅데이터분석(20010105),50.59387755,14
아이티윌,응용SW엔지니어링(20010202),49.26530612,23
구디아카데미,응용SW엔지니어링(20010202),49.24285714,14
노원그린컴퓨터아카데미,응용SW엔지니어링(20010202),48.05,6
에이콘아카데미(강남),빅데이터분석(20010105),47.7,5
케이지에듀원 아이티뱅크종로학원,응용SW엔지니어링(20010202),46.65,2
오라클자바교육학원,응용SW엔지니어링(20010202),46.65,2
플레이데이터평생교육원,응용SW엔지니어링(20010202),45.31292517,25
한국전파진흥협회,빅데이터분석(20010105),45,2
대한상공회의소,빅데이터분석(20010105),44.88214286,7
중앙정보기술인재개발원,응용SW엔지니어링(20010202),44.53673469,31
강남 그린컴퓨터아카데미,빅데이터분석(20010105),43.75,2
패스트캠퍼스강남학원,빅데이터분석(20010105),43.12653061,13
(주)솔데스크,응용SW엔지니어링(20010202),42.72857143,9
한국소프트웨어인재개발원,빅데이터분석(20010105),42.60681818,19
이젠아카데미 DX교육센터,응용SW엔지니어링(20010202),42.4,5
이젠아카데미DX교육센터,응용SW엔지니어링(20010202),41.63333333,5
유비온디지털교육센터,빅데이터분석(20010105),40.81,11
그린아이티아카데미학원,응용SW엔지니어링(20010202),40.225,6
(주)그렙,응용SW엔지니어링(20010202),40,1
멀티캠퍼스,응용SW엔지니어링(20010202),39.56437075,53
중앙정보처리학원,응용SW엔지니어링(20010202),38.8,7
강남 그린컴퓨터아카데미,응용SW엔지니어링(20010202),38.78333333,24
주식회사 로켓부스트,응용SW엔지니어링(20010202),38.5,1
더조은컴퓨터아카데미학원,빅데이터분석(20010105),38.05,3
플레이데이터평생교육원,빅데이터분석(20010105),37.585,18
더조은컴퓨터아카데미,빅데이터분석(20010105),36.2,3
아시아경제 교육센터,빅데이터분석(20010105),36.06666667,11
